Date,Store,Dept,Weekly_Sales
2012-11-02,1,1,32293.162000000015
2012-11-02,1,2,47702.31850000003
2012-11-02,1,3,10860.311500000002
2012-11-02,1,4,38401.50379999999
2012-11-02,1,5,31784.754699999994
2012-11-02,1,6,4949.586600000006
2012-11-02,1,7,25122.80510000002
2012-11-02,1,8,38591.13869999999
2012-11-02,1,9,41126.27640000003
2012-11-02,1,10,31628.488999999994
2012-11-02,1,11,26063.358900000003
2012-11-02,1,12,9989.964100000007
2012-11-02,1,13,42910.19780000001
2012-11-02,1,14,14264.095700000005
2012-11-02,1,16,6186.768700000001
2012-11-02,1,17,8892.505700000003
2012-11-02,1,18,12998.687499999995
2012-11-02,1,19,990.3070000000004
2012-11-02,1,20,3319.6074000000003
2012-11-02,1,21,8371.869600000004
2012-11-02,1,22,8070.95960000001
2012-11-02,1,23,23919.311899999993
2012-11-02,1,24,6553.5607999999975
2012-11-02,1,25,10990.4006
2012-11-02,1,26,7790.572899999998
2012-11-02,1,27,1793.1393000000016
2012-11-02,1,28,780.2955999999998
2012-11-02,1,29,4884.392999999997
2012-11-02,1,30,2443.7438
2012-11-02,1,31,1984.2377000000001
2012-11-02,1,32,6450.539099999999
2012-11-02,1,33,6390.523299999996
2012-11-02,1,34,11886.422800000002
2012-11-02,1,35,2551.798499999999
2012-11-02,1,36,2076.922699999999
2012-11-02,1,37,2901.487999999999
2012-11-02,1,38,86404.99880000003
2012-11-02,1,40,62466.126299999974
2012-11-02,1,41,1277.3771000000002
2012-11-02,1,42,8079.370999999994
2012-11-02,1,44,5912.021699999998
2012-11-02,1,46,18789.37420000001
2012-11-02,1,48,2261.853
2012-11-02,1,49,10240.136999999993
2012-11-02,1,52,2152.1022000000003
2012-11-02,1,55,15122.825200000007
2012-11-02,1,56,1178.588700000001
2012-11-02,1,58,3362.2596999999996
2012-11-02,1,59,640.7341999999994
2012-11-02,1,60,1238.5980000000004
2012-11-02,1,67,6452.435
2012-11-02,1,71,2465.2080999999994
2012-11-02,1,72,55353.95580000001
